CSAFP,GEOID,NAME,CBSA_TYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                             
482,44920,"Summit Park, UT Micro Area",2,4844778499,26615947,1870.58,10.276,40.87206,-110.968486
146,44980,"Sunbury, PA Micro Area",2,1186219234,50572294,458.002,19.526,40.851524,-76.709877
532,45060,"Syracuse, NY Metro Area",1,6176849966,1020679060,2384.895,394.086,43.006516,-76.196134
538,45140,"Tahlequah, OK Micro Area",2,1940958254,69624105,749.408,26.882,35.904367,-94.996796
142,45180,"Talladega-Sylacauga, AL Micro Area",2,3594102438,100918939,1387.691,38.965,33.186086,-86.197757
533,45220,"Tallahassee, FL Metro Area",1,6184076376,556580430,2387.685,214.897,30.386428,-84.28041
522,45380,"Taylorville, IL Micro Area",2,1837278858,16221514,709.377,6.263,39.545524,-89.279593
422,45540,"The Villages, FL Metro Area",1,1418509811,83231177,547.69,32.136,28.71431,-82.074703
122,45580,"Thomaston, GA Micro Area",2,837697011,10663282,323.437,4.117,32.881837,-84.292283
248,45660,"Tiffin, OH Micro Area",2,1427143576,4584953,551.023,1.77,41.119992,-83.127547
534,45780,"Toledo, OH Metro Area",1,3531730588,673366363,1363.609,259.988,41.544357,-83.690777
408,45860,"Torrington, CT Micro Area",2,2384058125,62393362,920.49,24.09,41.791883,-73.235404
408,45940,"Trenton, NJ Metro Area",1,581086519,11647674,224.359,4.497,40.282503,-74.703724
472,46020,"Truckee-Grass Valley, CA Micro Area",2,2480587331,41531993,957.76,16.036,39.297508,-120.771343
536,46060,"Tucson, AZ Metro Area",1,23794788865,5259325,9187.22,2.031,32.128523,-111.783027
538,46140,"Tulsa, OK Metro Area",1,16238463294,493085051,6269.706,190.381,36.254148,-96.174976
540,46340,"Tyler, TX Metro Area",1,2386701635,73066272,921.511,28.211,32.375106,-95.268743
362,46460,"Union City, TN-KY Micro Area",2,1944521607,91518983,750.784,35.336,36.408823,-89.162683
212,46500,"Urbana, OH Micro Area",2,1109624422,3638887,428.428,1.405,40.132775,-83.767604
488,46700,"Vallejo-Fairfield, CA Metro Area",1,2128347201,218679972,821.759,84.433,38.267226,-121.939594
194,46740,"Valley, AL Micro Area",2,1545009122,17048126,596.531,6.582,32.915504,-85.394032
338,46780,"Van Wert, OH Micro Area",2,1059698928,3281853,409.152,1.267,40.85552,-84.585775
512,46820,"Vermillion, SD Micro Area",2,1067154414,13955950,412.031,5.388,42.91615,-96.980468
298,46980,"Vicksburg, MS Micro Area",2,2786645441,113512128,1075.93,43.827,32.18176,-90.876125
544,47020,"Victoria, TX Metro Area",1,4491343500,36475960,1734.117,14.083,28.731455,-97.196993
428,47220,"Vineland-Bridgeton, NJ Metro Area",1,1251898435,503712955,483.361,194.485,39.328434,-75.121628
545,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1,6948499180,3237656435,2682.831,1250.066,36.856081,-76.373791
546,47300,"Visalia-Porterville, CA Metro Area",1,12494838453,37259234,4824.284,14.386,36.228834,-118.781055
244,47420,"Wahpeton, ND-MN Micro Area",2,5663688397,25518466,2186.762,9.853,46.29395,-96.790701
338,47540,"Wapakoneta, OH Micro Area",2,1039603387,1345186,401.393,0.519,40.561309,-84.224018
356,47580,"Warner Robins, GA Metro Area",1,2007363330,19128748,775.047,7.386,32.401594,-83.635095
312,47660,"Warrensburg, MO Micro Area",2,2147833558,10122996,829.283,3.909,38.741528,-93.811863
274,47820,"Washington, NC Micro Area",2,2154872483,338892301,832.001,130.847,35.482313,-76.842014
