zip,LAT,LNG,AVG_LIFE_EXP
02131,42.284333,-71.126228,80.1818181818182
02132,42.280455,-71.162017,82.3888888888889
02134,42.358016,-71.128608,80.22
02135,42.349688,-71.153964,82.1727272727273
02136,42.255083,-71.129220,79.2909090909091
02138,42.379637,-71.135152,82.9933333333334
02139,42.362986,-71.103353,80.1866666666667
02140,42.392157,-71.133996,82.5083333333333
02141,42.370300,-71.082560,79.2857142857143
02142,42.361471,-71.081994,81.8333333333333
02143,42.381409,-71.096714,79.54
02144,42.399655,-71.122550,81.4222222222222
02145,42.391577,-71.089910,80.5111111111111
02148,42.429380,-71.058706,80.2
02149,42.405938,-71.054649,80.0272727272727
02150,42.396824,-71.031348,78.13
02151,42.418290,-71.001251,79.825
02152,42.373055,-70.974807,78.7
02155,42.423840,-71.107673,80.3555555555556
02163,42.366168,-71.122850,79.1
02169,42.248386,-71.002279,79.7071428571429
02170,42.266415,-71.015576,80.1
02171,42.293310,-71.018208,80.2285714285714
02176,42.455723,-71.059019,81.5555555555556
02180,42.474208,-71.097665,81.3142857142857
02184,42.206188,-71.002320,80.08
02186,42.241557,-71.082432,82.1777777777778
02188,42.204578,-70.957749,79.6
02189,42.209776,-70.928189,79.9285714285714
02190,42.166731,-70.952363,80.78
02191,42.243453,-70.942033,79.6
02199,42.347476,-71.082035,83.9
02203,42.360598,-71.058775,82.4
02210,42.347472,-71.039271,81.0333333333333
02215,42.347635,-71.103082,80.55
02301,42.078371,-71.042304,78.2333333333333
02302,42.088907,-70.998375,77.375
02322,42.132460,-71.054013,79.5
02324,41.972387,-70.978778,81.0
02330,41.878644,-70.743198,79.0285714285714
02332,42.044325,-70.706075,83.3
02333,42.037278,-70.940459,79.8428571428571
02338,42.002811,-70.863473,78.5
02339,42.122956,-70.856310,81.35
02341,42.050464,-70.867418,79.26
02343,42.140244,-70.997347,78.8333333333333
02346,41.878004,-70.869267,79.5428571428572
02347,41.834412,-70.957163,79.7
02351,42.119964,-70.957216,79.2
02356,42.060532,-71.119676,81.08
02357,42.054978,-71.080651,81.4
02359,42.067804,-70.805713,79.6
02360,41.882056,-70.631290,80.3181818181818
02364,41.987196,-70.741942,82.05
02366,41.850984,-70.654984,80.6
02367,41.959100,-70.802753,78.5
02368,42.176446,-71.051567,81.5666666666667
02370,42.130399,-70.910615,79.0166666666667
02375,42.003041,-71.076928,80.2714285714286
02379,42.021617,-71.026717,78.95
02382,42.078974,-70.939390,77.7375
02420,42.457055,-71.215464,84.9888888888889
02421,42.438547,-71.239573,85.8
02445,42.325483,-71.135045,82.5444444444444
02446,42.343503,-71.122248,82.1333333333333
02451,42.397823,-71.255708,83.7
02452,42.392721,-71.213532,83.16
02453,42.369542,-71.240513,82.2272727272727
02458,42.353585,-71.188192,83.8875
02459,42.314779,-71.192017,86.4285714285714
02460,42.351824,-71.208490,83.66
02461,42.317362,-71.206508,86.0833333333333
02462,42.328708,-71.255900,84.45
02464,42.312975,-71.218882,83.0333333333333
02465,42.348912,-71.226330,82.6
02466,42.344457,-71.248617,82.6
02467,42.314344,-71.152759,84.8222222222222
02468,42.328553,-71.229530,84.3
02472,42.369451,-71.177925,83.0642857142857
02474,42.420949,-71.156370,84.08
02476,42.415637,-71.175670,84.3166666666667
02478,42.395317,-71.180284,83.3916666666667
02481,42.311927,-71.275531,85.0
02482,42.293103,-71.298537,84.9
02492,42.276029,-71.244543,84.76
02493,42.360502,-71.303433,84.1
02494,42.299490,-71.232519,84.5333333333334
02532,41.751759,-70.597552,81.075
02534,41.668942,-70.619407,87.3
02535,41.337159,-70.761031,80.7
02536,41.596305,-70.567467,79.64
02537,41.728418,-70.435812,82.6
02538,41.777476,-70.642148,74.35
02539,41.377655,-70.522080,81.9666666666667
02540,41.573881,-70.632049,80.25
02543,41.478974,-70.766911,84.3
02553,41.711561,-70.622853,80.5
02554,41.291167,-70.092826,81.85
02557,41.441713,-70.576143,81.1
02559,41.690243,-70.616283,83.9
02561,41.766737,-70.540595,83.3
02562,41.787209,-70.526717,83.3
02563,41.728137,-70.476549,81.82
02564,41.271979,-69.984406,82.4
02568,41.458608,-70.613479,80.9
02571,41.761187,-70.695991,78.2
02575,41.400252,-70.656934,80.7
02576,41.772221,-70.762948,82.55
02584,41.258688,-70.007142,81.0
02601,41.657961,-70.298093,76.9666666666667
02630,41.706769,-70.312530,77.15
02631,41.747513,-70.066223,81.075
02632,41.659097,-70.346877,79.7666666666667
02633,41.689734,-69.972126,80.4
02635,41.624054,-70.439397,83.4
02637,41.705726,-70.270928,84.4
02638,41.730228,-70.197398,79.9
02639,41.668067,-70.136979,78.9666666666667
02641,41.751246,-70.153472,81.4
02642,41.841331,-69.977436,79.65
02643,41.797777,-69.937327,81.9
02644,41.683488,-70.510786,79.7
02645,41.711052,-70.057609,80.2333333333333
02646,41.670596,-70.071449,78.65
02647,41.630127,-70.310144,81.5
02648,41.670946,-70.415370,83.0
